No. Evento,Nombre del Evento,Consultor a Cargo,Instructor,Fecha Inicio,Fecha Fin,Nombre del Participante,Estado del Participante
2026-SE-001,Taller de Excel Avanzado,Ing. Erick Aguilar,Lic. Carlos Mérida,2026-08-15,2026-08-30,Juan Pérez López,Inscrito
2026-SE-001,Taller de Excel Avanzado,Ing. Erick Aguilar,Lic. Carlos Mérida,2026-08-15,2026-08-30,María Gómez Estrada,No Inscrito
2026-SE-001,Taller de Excel Avanzado,Ing. Erick Aguilar,Lic. Carlos Mérida,2026-08-15,2026-08-30,Pedro Ramírez Ortiz,Inscrito
2026-SE-001,Taller de Excel Avanzado,Ing. Erick Aguilar,Lic. Carlos Mérida,2026-08-15,2026-08-30,Luisa Fernanda Gómez,Inscrito
2026-SE-002,Liderazgo Efectivo y Trabajo en Equipo,MSc. Sofia Castillo,Ing. Roberto Cabrera,2026-09-01,2026-09-10,Ana Lucía Méndez,Inscrito
2026-SE-002,Liderazgo Efectivo y Trabajo en Equipo,MSc. Sofia Castillo,Ing. Roberto Cabrera,2026-09-01,2026-09-10,Josué Morales Soto,No Inscrito
2026-SE-002,Liderazgo Efectivo y Trabajo en Equipo,MSc. Sofia Castillo,Ing. Roberto Cabrera,2026-09-01,2026-09-10,Carlos H. Valenzuela,Inscrito
2026-SE-003,Certificación en SCRUM Master,Ing. Erick Aguilar,Ing. Julio César Soto,2026-08-20,2026-09-05,David Ordóñez,Inscrito
2026-SE-003,Certificación en SCRUM Master,Ing. Erick Aguilar,Ing. Julio César Soto,2026-08-20,2026-09-05,Marcos Méndez Fuentes,No Inscrito
2026-SE-003,Certificación en SCRUM Master,Ing. Erick Aguilar,Ing. Julio César Soto,2026-08-20,2026-09-05,Estela Maris de León,Inscrito
